date,carp_score,opponent_name,opponent_score
2017-06-06,4,日本ハム,3
2017-06-07,8,日本ハム,3
2017-06-08,5,日本ハム,3
2017-06-09,12,楽天,3
2017-06-10,1,楽天,2
2017-06-11,3,楽天,4
2017-06-13,1,オリックス,0
2017-06-14,7,オリックス,6
2017-06-15,7,オリックス,2
2017-06-16,3,ソフトバンク,5
2017-06-17,3,ソフトバンク,2
2017-06-18,4,ソフトバンク,7
2017-06-23,13,阪神,3
2017-06-25,5,阪神,0
2017-06-27,4,DeNA,3
2017-06-28,8,DeNA,11
2017-06-30,8,中日,3
2017-07-01,8,中日,1
2017-07-02,6,中日,4
2017-07-04,0,巨人,3
2017-07-05,0,巨人,5
2017-07-06,6,巨人,5
2017-07-07,9,ヤクルト,8
2017-07-08,8,ヤクルト,2
2017-07-09,3,ヤクルト,3
2017-07-10,5,DeNA,1
2017-07-11,2,DeNA,5
2017-07-12,5,DeNA,1
2017-07-17,1,阪神,2
2017-07-18,9,阪神,5
2017-07-19,14,阪神,3
2017-07-21,5,中日,8
2017-07-22,6,中日,3
2017-07-23,12,中日,1
2017-07-25,2,巨人,1
2017-07-26,7,巨人,2
2017-07-27,3,巨人,4
2017-07-28,7,ヤクルト,1
2017-07-29,1,ヤクルト,9
2017-07-30,14,ヤクルト,1
2017-08-01,4,阪神,3
2017-08-02,3,阪神,4
2017-08-03,5,阪神,5
2017-08-04,3,DeNA,13
2017-08-05,7,DeNA,4
2017-08-06,9,DeNA,4
2017-08-08,1,中日,1
2017-08-09,1,中日,7
2017-08-10,5,中日,6
2017-08-11,2,巨人,9
2017-08-12,1,巨人,0
2017-08-13,4,巨人,1
2017-08-15,11,阪神,6
2017-08-16,5,阪神,3
2017-08-17,4,阪神,5
2017-08-18,1,ヤクルト,0
2017-08-19,0,ヤクルト,5
2017-08-20,6,ヤクルト,5
2017-08-22,5,DeNA,6
2017-08-23,6,DeNA,7
2017-08-24,4,DeNA,5
2017-08-25,9,中日,1
2017-08-26,6,中日,2
2017-08-27,5,中日,6
2017-08-29,2,巨人,1
2017-08-30,4,巨人,6
2017-08-31,1,巨人,3
2017-09-01,3,ヤクルト,2
2017-09-02,3,ヤクルト,1
2017-09-03,9,ヤクルト,2
2017-09-05,8,阪神,7
2017-09-06,4,阪神,3
2017-09-07,6,阪神,4
2017-09-08,3,中日,0
2017-09-09,9,中日,5
2017-09-10,4,中日,3
2017-09-12,1,DeNA,3
2017-09-13,12,DeNA,4
2017-09-14,5,DeNA,4
2017-09-16,4,ヤクルト,5
2017-09-18,3,阪神,2
2017-09-21,5,阪神,7
2017-09-22,5,巨人,0
2017-09-23,3,巨人,2
2017-09-24,2,中日,3
2017-09-28,3,ヤクルト,1
2017-09-30,5,DeNA,1
2017-10-01,7,DeNA,13
2017-10-18,3,DeNA,0
2017-10-19,2,DeNA,6
2017-10-20,0,DeNA,1
2017-10-23,3,DeNA,4
2017-10-24,3,DeNA,9
